id_doc,Text's title,Author,original_name,Normalized name,ID wikidata,identifiers,coordinate location,Longitude,Latitude,Type of place,printer,publication place,date
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Viejo Mundo","Viejo Mundo",Europe,Q46,"48.690959,9.14062",48.690959,9.14062,"Viejo Mundo",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Europa","Europa",Europe,Q46,"48.690959,9.14062",48.690959,9.14062,"Europa",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Inglaterra","Inglaterra",England,Q21,"53,-1",53,-1,"Inglaterra",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Francia","Francia",France,Q142,"47,2",47,2,"Francia",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Austria","Austria",Austria,Q40,"48,14",48,14,"Austria",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Italia","Italia",Italy,Q38,"42.5,12.5",42.5,12.5,"Italia",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Rusia","Rusia",Russia,Q159,"66.41666666666667,94.25",66.41666666666667,94.25,"Rusia",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Vieja Europa","Vieja Europa",Old Europe,Q1241067,,,,"Vieja Europa",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Viena","Viena",Vienna,Q1741,"48.208333333333336,16.3725",48.208333333333336,16.3725,"Viena",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Reino de Grecia","Reino de Grecia",Greece,Q41,"38.5,23",38.5,23,"Reino de Grecia",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Turquia","Turquía",Turkey,Q43,"39,36",39,36,"Turquía",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Europa","Europa",Europe,Q46,"48.690959,9.14062",48.690959,9.14062,"Europa",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Albania","Albania",Albania,Q222,"41,20",41,20,"Albania",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Tesalia","Tesalia",Ancient Thessaly,Q1247568,,,,"Tesalia",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Romelia","Romelia",Rumelia,Q184002,"41,21.333333333333",41,21.333333333333,"Romelia",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Austro-Hungría","Austria-Hungría",Austria-Hungary,Q28513,"48.2,16.35",48.2,16.35,"Austria-Hungría",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Italia","Italia",Italy,Q38,"42.5,12.5",42.5,12.5,"Italia",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Tirol","Tirol",Tirol,Q30031124,"46.69102,11.15427",46.69102,11.15427,"Tirol",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Alpes Rehéticos","Alpes Rehéticos",Rhaetian Alps,Q1277,"46.8,10",46.8,10,"Alpes Rehéticos",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Istria","Istria",Istria,Q1079468,"44.566666666667,28.716666666667",44.566666666667,28.716666666667,"Istria",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Croácia","Croacia",Croatia,Q224,"45.25,15.466667",45.25,15.466667,"Croacia",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Dalmácia","Dalmacia",Dalmatia,Q528042,"43.812761,16.218756",43.812761,16.218756,"Dalmacia",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Alpes Julianos","Alpes Julianos",Julian Alps,Q119206,"46.36666667,13.81666667",46.36666667,13.81666667,"Alpes Julianos",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Ragusa","Ragusa",Dubrovnik,Q1722,"42.640277777778,18.108333333333",42.640277777778,18.108333333333,"Ragusa",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Montenegro","Montenegro",Montenegro,Q236,"42.766667,19.216667",42.766667,19.216667,"Montenegro",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Bósnia","Bosnia",Bosnia,Q188736,"44.16,17.78",44.16,17.78,"Bosnia",Igon Hermanos,Buenos Aires,1879
